k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
172,-0.19126355276897736,1.0367929203083448,0.01920630425448261,-3.0649236037149525,0.0,-1.0,-0.5603854415514551
173,-0.11747619143865956,1.4757472266063558,-0.20604694628098125,-4.505065010709277,0.0,1.0,-1.1799280310043168
174,-0.07320116227746265,0.8855005832239383,-0.33984946146345507,-2.6760503036494763,1.5,1.0,-0.5181238921433913
175,-0.036009645581486435,0.7438303339195242,-0.42519461157067995,-1.706903002144497,1.5,1.0,-0.3554272235030821
176,-0.004271306453641731,0.634766782556894,-0.46588939388584033,-0.8138956463032078,-1.5,1.0,-0.270338920959584
177,-0.014342923496791081,-0.201432340862987,-0.39863677902775474,1.345052297161712,-1.5,0.0,-0.25160403455033487
178,-0.0430000482008304,-0.5731424940807863,-0.2990456634714082,1.9918223111269304,-1.5,0.0,-0.306069734867537
179,-0.09000634450335152,-0.9401259260504222,-0.16726377170379725,2.635637835352219,-1.5,0.0,-0.4275994891740508
180,-0.1549051914723995,-1.2979769393809595,-0.003977285406759012,3.2657297259407643,-1.5,0.0,-0.6414981760472028
181,-0.23665393510950328,-1.6349748727420752,0.1883747039786154,3.847039787707488,1.5,-1.0,-0.9651330122369659
182,-0.2701024245949888,-0.6689697897097107,0.254973411935252,1.3319741591327325,1.5,-1.0,-0.24905054757307554
183,-0.2589467377223723,0.22311373745232987,0.20567415197409217,-0.9859851992231969,1.5,-1.0,-0.16045259741367876
184,-0.20488461356114132,1.08124248322462,0.04492894674441056,-3.2149041045936317,0.0,-1.0,-0.6192310005927966
185,-0.12888527250202053,1.5199868211824155,-0.1877564242467093,-4.653707419822397,0.0,1.0,-1.2502315226077432
186,-0.0825724431764055,0.9262565865123006,-0.32851221458170854,-2.8151158066999855,1.5,1.0,-0.5538798969609757
187,-0.04358458052377376,0.7797572530526347,-0.42022606781768773,-1.8342770647195836,1.5,1.0,-0.3771192499251733
188,-0.01024148219386603,0.6668619665981546,-0.46681201067307354,-0.9317188571077158,-1.5,1.0,-0.2836585868254283
189,-0.018804501702818714,-0.1712603901790537,-0.40517655088353904,1.2327091957906902,-1.5,0.0,-0.241966750801733
190,-0.04595669262691104,-0.5430438184818465,-0.3111706648670109,1.8801177203305628,-1.5,0.0,-0.2904261618255988
191,-0.09146476583216614,-0.9101614641051019,-0.1849582407196385,2.5242484829474474,-1.5,0.0,-0.4025865689190584
192,-0.15492467217260275,-1.2691981268087318,-0.027094193133721606,3.157280951718338,-1.5,0.0,-0.6037000940082683
193,-0.23540985741617226,-1.60970370487139,0.1603062832193791,3.7480095270620137,1.5,-1.0,-0.9130519770295293
194,-0.26769399000294264,-0.6456826517354076,0.222187159330425,1.2376175222209178,1.5,-1.0,-0.2184573669580348
195,-0.2552058709254633,0.24976238154958652,0.16767490465013984,-1.090245093605703,1.5,-1.0,-0.1557956907726892
196,-0.19964276899602593,1.1112620385887477,0.0012171395922386252,-3.329155301158024,0.0,-1.0,-0.6557676335230374
197,-0.122411092353726,1.5446335328459984,-0.23651680654181934,-4.754678922681159,-1.5,1.0,-1.320567895737012
